,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
9,"""Weird Al"" Yankovic",0.1769340909090909,0.664787878787879,218165.25757575769,0.6851363636363638,4.631757575757574e-05,0.1621393939393939,-9.877909090909096,0.0823924242424242,132.49509090909086,0.7544090909090906,33.68181818181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']",Pop
11,$NOT,0.5469999999999999,0.7501249999999999,152929.5,0.51975,0.0431371375,0.213975,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Hip-hop
13,$uicideBoy$,0.1281226229508196,0.7652459016393444,147549.44262295082,0.6417049180327874,0.038454471147541,0.2011950819672132,-6.626918032786888,0.155917213114754,119.80436065573772,0.2960959016393442,61.64754098360656,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']",Hip-hop
19,'Til Tuesday,0.10555625,0.5571250000000001,255213.5,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",EDM
20,((( O ))),0.847,0.41,311837.0,0.1689999999999999,0.00327,0.1169999999999999,-11.422,0.0485,89.494,0.208,66.0,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Pop
23,(G)I-DLE,0.0299666666666666,0.718,194278.0,0.7643333333333334,9.4e-07,0.1633333333333333,-3.797333333333333,0.0552,129.99200000000002,0.4496666666666666,74.66666666666667,4,0,3,"['k-pop', 'k-pop girl group']",Pop
24,(Hed) P.E.,0.0116314,0.5892000000000002,253677.4,0.8792,2.026e-06,0.17112,-5.259799999999999,0.17214,134.9694,0.4270000000000001,45.8,2,1,10,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",Metal
25,*NSYNC,0.1567575384615384,0.642051282051282,237077.5128205128,0.7193205128205126,0.0036246523076923,0.2174230769230769,-6.0306923076923065,0.0671551282051282,114.68521794871796,0.6151282051282053,45.7948717948718,0,1,78,"['boy band', 'dance pop', 'europop', 'pop']",EDM
27,-,0.466,0.446,316307.0,0.546,1.5399999999999998e-05,0.193,-7.022,0.045,125.961,0.376,55.0,10,0,2,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']",Pop
28,...And You Will Know Us by the Trail of Dead,0.0084099999999999,0.255,273624.0,0.858,0.0003549999999999,0.513,-5.085,0.0694,144.653,0.237,35.0,7,1,2,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']",EDM
